City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,raja,8.4596,25.678,80.85200000000007,32,53,1.19,SS,1715229329
159,gunnedah,-30.9833,150.25,73.36400000000003,41,22,3.37,AU,1715229329
160,buncrana,55.1333,-7.45,45.806000000000026,93,75,2.55,IE,1715229329
161,port allen,30.4521,-91.2101,82.54400000000007,82,100,6.17,US,1715229330
162,poso,-1.3959,120.7524,84.2,79,100,1.92,ID,1715229330
163,morant bay,17.8815,-76.4093,83.82200000000003,87,85,3.36,JM,1715229330
164,acarau,-2.8856,-40.12,77.28800000000004,91,68,4.1,BR,1715229122
165,uturoa,-16.7333,-151.4333,82.00400000000005,77,69,5.78,PF,1715229330
166,glace bay,46.1969,-59.957,39.84800000000003,87,100,3.09,CA,1715229320
167,akureyri,65.6835,-18.0878,37.32800000000007,56,0,3.6,IS,1715229331
168,north myrtle beach,33.816,-78.68,73.49000000000002,90,0,3.6,US,1715229331
169,floresville,29.1336,-98.1561,83.35400000000006,90,57,3.82,US,1715229331
170,duyun,26.2667,107.5167,68.77400000000002,85,100,0.33,CN,1715229332
171,bykovo,55.6361,38.0803,32.360000000000085,76,40,12.96,RU,1715229332
172,bouna,9.2667,-3.0,76.316,88,76,2.47,CI,1715229332
173,port saint john's,-31.6229,29.5448,65.75,85,0,1.66,ZA,1715229332
174,aykhal,66.0,111.5,23.324000000000012,76,89,7.15,RU,1715229203
175,bumba,2.1833,22.4667,74.57000000000006,93,84,1.17,CD,1715229332
176,ciudad bolivar,8.1222,-63.5497,83.91200000000006,66,69,4.71,VE,1715229333
177,tual,-5.6667,132.75,83.192,74,34,6.68,ID,1715229333
178,penzance,50.1186,-5.5371,51.76400000000003,89,93,4.82,GB,1715229333
179,sanibel,26.449,-82.0223,81.01400000000004,81,11,4.47,US,1715229333
180,kismayo,-0.3582,42.5454,80.22200000000004,85,93,5.77,SO,1715229333
181,sidi ifni,29.3797,-10.173,64.14800000000002,77,100,0.38,MA,1715229334
182,bloomfield,40.8068,-74.1854,73.43600000000006,48,0,4.12,US,1715229334
183,domna,51.8971,113.1573,60.96200000000006,18,100,2.0,RU,1715229334
184,dakhla,23.6848,-15.958,64.67000000000006,90,98,5.65,EH,1715229334
185,recani,31.2846,-4.2688,70.05200000000008,22,0,2.8,MA,1715229334
186,selfoss,63.9331,-20.9971,36.68000000000004,73,51,1.12,IS,1715229334
187,diamantino,-14.4086,-56.4461,73.09400000000008,69,29,2.6,BR,1715229335
188,kapa'a,22.0752,-159.319,80.58200000000002,87,100,2.57,US,1715229183
189,saipan,15.1355,145.701,92.10200000000007,58,40,7.72,MP,1715229335
190,grodkow,50.6984,17.3845,45.14000000000002,76,13,2.15,PL,1715229335
191,paracuru,-3.41,-39.0306,81.10400000000006,93,69,3.56,BR,1715229335
192,baardheere,2.3446,42.2764,78.22400000000002,86,88,5.94,SO,1715229335
193,macau,22.2006,113.5461,82.20200000000008,69,20,8.23,MO,1715229336
194,severo-yeniseyskiy,60.3725,93.0408,34.57400000000001,98,100,4.47,RU,1715229336
195,aasiaat,68.7098,-52.8699,13.928000000000065,80,26,3.3,GL,1715229336
196,chon daen,16.1895,100.8596,95.19800000000002,39,74,2.72,TH,1715229336
197,reyes,-14.3167,-67.3833,76.22600000000008,88,45,0.59,BO,1715229336
198,hithadhoo,-0.6,73.0833,84.56000000000009,75,83,5.66,MV,1715229337
199,tafuna,-14.3358,-170.72,84.308,76,96,5.02,AS,1715229337
200,yakeshi,49.2833,120.7333,65.31800000000008,14,98,3.79,CN,1715229337
201,massawa,15.6097,39.45,84.34400000000008,66,65,2.98,ER,1715229337
202,mana,5.6592,-53.7767,79.64600000000004,86,99,4.78,GF,1715229337
203,fale old settlement,-9.3852,-171.2468,84.45200000000008,74,61,2.27,TK,1715229338
204,carnarvon,-24.8667,113.6333,78.65600000000003,45,99,3.48,AU,1715229338
205,gurupa,-1.405,-51.64,74.75,99,70,1.11,BR,1715229338
206,ulmeni,47.4667,23.3,55.562000000000054,87,100,1.91,RO,1715229338
207,port lincoln,-34.7333,135.8667,63.08600000000007,65,5,4.71,AU,1715229339
208,ribeira grande,38.5167,-28.7,58.766000000000005,85,91,1.79,PT,1715229339
209,tralee,52.2704,-9.7026,47.42600000000009,91,99,2.01,IE,1715229206
210,virginia beach,36.8529,-75.978,79.016,87,20,3.6,US,1715229193
211,bamboo flat,11.7,92.7167,93.29000000000002,59,40,3.6,IN,1715229339
212,balikpapan,-1.2675,116.8289,81.59000000000002,89,40,2.57,ID,1715229340
213,jitra,6.2681,100.4217,93.092,59,20,1.03,MY,1715229340
214,luanda,-8.8368,13.2343,78.8,94,75,1.54,AO,1715229340
215,ciudad lazaro cardenas,17.9583,-102.2,74.42600000000009,82,42,0.92,MX,1715229340
216,lethem,3.3803,-59.7968,78.15200000000007,87,100,2.21,GY,1715229341
217,neftegorsk,52.802,51.166,36.391999999999996,54,5,3.76,RU,1715229341
218,hasaki,35.7333,140.8333,59.39600000000005,73,100,10.02,JP,1715229341
219,auki,-8.7676,160.7034,78.74600000000005,92,100,1.61,SB,1715229341
220,haiku-pauwela,20.9219,-156.3051,75.16400000000003,75,20,9.77,US,1715229341
221,murzuq,25.9155,13.9184,72.64400000000008,26,10,5.43,LY,1715229341
